method1,method2,method3,candidate,average,ai,literature,music,politics,science,movie,restaurant
bert-base-cased-num=20,checkpoint-31160,beam-rerank-cand=10,1,0.713493530448948,0.603174603122701,0.5316455695691075,0.8428571428059489,0.7678571428058354,0.8358208954699041,0.6842105262623269,0.476190476139229
bert-base-cased-num=20,checkpoint-31160,beam-rerank-cand=10,2,0.7518518518017187,0.6349206348686319,0.6075949366575227,0.8794326240622503,0.7818181817667768,0.8484848484322772,0.7894736841565098,0.5116279069250406
bert-base-cased-num=20,checkpoint-31160,beam-rerank-cand=10,3,0.7740740740239369,0.656249999947998,0.6075949366575227,0.8857142856630306,0.8518518518002743,0.8823529411239186,0.7894736841565098,0.5116279069250406
bert-base-cased-num=20,checkpoint-31160,beam-rerank-cand=10,4,0.7800369685265697,0.656249999947998,0.6075949366575227,0.8999999999487245,0.8518518518002743,0.8823529411239186,0.8205128204586457,0.5116279069250406
bert-base-cased-num=20,checkpoint-31160,beam-rerank-cand=10,5,0.7866419294489347,0.6666666666145629,0.6075949366575227,0.8999999999487245,0.8518518518002743,0.8823529411239186,0.8421052631036011,0.5581395348318009
bert-base-cased-num=20,checkpoint-31160,beam-rerank-cand=10,10,0.8187134502422535,0.7142857142332272,0.6666666666152532,0.9275362318327136,0.8623853210493393,0.8823529411239186,0.937499999944336,0.4999999999486328
bert-base-cased-num=20,checkpoint-31160,beam-rerank-cand=20,1,0.7150635208210177,0.5806451612384496,0.5569620252652459,0.8450704224840607,0.828828828777372,0.6849315067978983,0.7179487178950691,0.5333333332811853
bert-base-cased-num=20,checkpoint-31160,beam-rerank-cand=20,2,0.7587476979240791,0.6129032257544745,0.6410256409742933,0.8776978416753584,0.8468468467953575,0.7222222221705632,0.7894736841565098,0.6046511627385615
bert-base-cased-num=20,checkpoint-31160,beam-rerank-cand=20,3,0.7832422586019535,0.6451612902704995,0.6666666666152532,0.9027777777266106,0.8468468467953575,0.7499999999482638,0.8421052631036011,0.6363636363111571
bert-base-cased-num=20,checkpoint-31160,beam-rerank-cand=20,4,0.8007246376310202,0.6363636363118916,0.699999999948375,0.9090909090396988,0.8468468467953575,0.8571428570905714,0.8421052631036011,0.6363636363111571
bert-base-cased-num=20,checkpoint-31160,beam-rerank-cand=20,5,0.8117001827652083,0.6666666666145629,0.7249999999483125,0.9219858155515516,0.8468468467953575,0.8571428570905714,0.8421052631036011,0.6363636363111571
bert-base-cased-num=20,checkpoint-31160,beam-rerank-cand=20,10,0.8388278387776851,0.6666666666145629,0.7407407406889802,0.935251798509808,0.9009009008493142,0.8695652173388784,0.9230769230222224,0.6818181817654959
bert-base-cased-num=20,checkpoint-31160,beam-rerank-cand=20,20,0.871287128662699,0.7407407406879973,0.7407407406889802,0.9640287769270326,0.9009009008493142,0.8695652173388784,0.9999999999433332,0.7619047618503402
bert-base-cased-num=20,checkpoint-31160,beam-rerank-cand=30,1,0.7232472324221939,0.6101694914734845,0.5641025640514135,0.8450704224840607,0.8108108107593863,0.7042253520609403,0.6842105262623269,0.6046511627385615
bert-base-cased-num=20,checkpoint-31160,beam-rerank-cand=30,2,0.7624309391763804,0.6440677965581155,0.6153846153333333,0.8857142856630306,0.8392857142342792,0.7222222221705632,0.7692307691768574,0.6511627906453218
bert-base-cased-num=20,checkpoint-31160,beam-rerank-cand=30,3,0.7829313543097889,0.655172413741082,0.6666666666152532,0.8936170212253508,0.8468468467953575,0.7714285713765305,0.7894736841565098,0.6511627906453218
bert-base-cased-num=20,checkpoint-31160,beam-rerank-cand=30,4,0.8007380073299287,0.6779661016427464,0.7088607594420765,0.9090909090396988,0.8468468467953575,0.7826086956,0.7894736841565098,0.6976744185520823
bert-base-cased-num=20,checkpoint-31160,beam-rerank-cand=30,5,0.8066298342039966,0.6666666666145629,0.7088607594420765,0.9361702127146522,0.8468468467953575,0.7826086956,0.8108108107567569,0.6976744185520823
bert-base-cased-num=20,checkpoint-31160,beam-rerank-cand=30,10,0.8518518518017002,0.7333333332809445,0.7499999999482501,0.942857142805806,0.9090909090392728,0.8823529411239186,0.8717948717404339,0.6976744185520823
bert-base-cased-num=20,checkpoint-31160,beam-rerank-cand=30,20,0.869402985024482,0.7586206896027943,0.7560975609237952,0.9496402877184204,0.9090909090392728,0.8955223880070394,0.947368420997784,0.7619047618521542
bert-base-cased-num=20,checkpoint-31160,beam-rerank-cand=30,30,0.8898305084243915,0.8095238094700682,0.7368421052112534,0.9640287769270326,0.9090909090392728,0.9090909090381544,0.999999999940909,0.8235294117065743
bert-base-cased-num=20,checkpoint-31160,beam-rerank-cand=40,1,0.7047970479203524,0.6101694914734845,0.5641025640514135,0.7605633802306585,0.8214285713771683,0.7142857142338367,0.6842105262623269,0.6046511627385615
bert-base-cased-num=20,checkpoint-31160,beam-rerank-cand=40,2,0.7499999999498627,0.6440677965581155,0.6075949366575227,0.8428571428059489,0.8318584070282716,0.7323943661453679,0.7692307691768574,0.6511627906453218
bert-base-cased-num=20,checkpoint-31160,beam-rerank-cand=40,3,0.7806691449312786,0.6440677965581155,0.6410256409742933,0.8999999999487245,0.8623853210493393,0.7605633802297955,0.7894736841565098,0.6511627906453218
bert-base-cased-num=20,checkpoint-31160,beam-rerank-cand=40,4,0.8022181145524437,0.6779661016427464,0.6835443037459381,0.9154929576952292,0.8703703703187585,0.7887323943142234,0.7894736841565098,0.6818181817654959
bert-base-cased-num=20,checkpoint-31160,beam-rerank-cand=40,5,0.8104089218829459,0.6779661016427464,0.701298701247293,0.9295774647374628,0.8703703703187585,0.7887323943142234,0.7894736841565098,0.6976744185520823
bert-base-cased-num=20,checkpoint-31160,beam-rerank-cand=40,10,0.8460111316752689,0.7301587301064247,0.7594936708343535,0.9496402877184204,0.8785046728455586,0.8857142856619183,0.8421052631036011,0.6976744185520823
bert-base-cased-num=20,checkpoint-31160,beam-rerank-cand=40,20,0.8655616942408182,0.7301587301064247,0.7654320987136107,0.9640287769270326,0.9090909090392728,0.8985507245851713,0.8947368420506926,0.7441860464588427
bert-base-cased-num=20,checkpoint-31160,beam-rerank-cand=40,30,0.8777777777276214,0.7540983606032787,0.7654320987136107,0.9640287769270326,0.9090909090392728,0.8985507245851713,0.9743589743040106,0.780487804825699
bert-base-cased-num=20,checkpoint-31160,beam-rerank-cand=40,40,0.8921775898018202,0.7999999999464691,0.7466666666147556,0.9710144927022158,0.9090909090392728,0.9117647058297144,0.99999999994,0.8235294117065743
bert-base-cased-num=20,checkpoint-31160,beam-rerank-cand=50,1,0.6911764705381088,0.6101694914734845,0.5063291138729691,0.7605633802306585,0.8141592919840551,0.7246376811074144,0.6315789473152355,0.5909090908568183
bert-base-cased-num=20,checkpoint-31160,beam-rerank-cand=50,2,0.7440147329148737,0.6440677965581155,0.5897435896923734,0.8142857142345612,0.8468468467953575,0.7428571428051836,0.7499999999462501,0.6666666666139259
bert-base-cased-num=20,checkpoint-31160,beam-rerank-cand=50,3,0.7686567163677843,0.6440677965581155,0.6233766233254173,0.8510638297360494,0.8703703703187585,0.7536231883537072,0.7894736841565098,0.6818181817654959
bert-base-cased-num=20,checkpoint-31160,beam-rerank-cand=50,4,0.7902621722345213,0.6779661016427464,0.6753246752733344,0.8671328670817156,0.8846153845637574,0.7826086956,0.7894736841565098,0.6818181817654959
bert-base-cased-num=20,checkpoint-31160,beam-rerank-cand=50,5,0.801498127290699,0.6779661016427464,0.7105263157381578,0.8811188810677099,0.8846153845637574,0.7826086956,0.7894736841565098,0.7111111110581728
bert-base-cased-num=20,checkpoint-31160,beam-rerank-cand=50,10,0.84758364307253,0.6984126983604938,0.7692307691790926,0.9496402877184204,0.8867924527785332,0.8985507245851713,0.8421052631036011,0.7111111110581728
bert-base-cased-num=20,checkpoint-31160,beam-rerank-cand=50,20,0.8687615526300655,0.7301587301064247,0.7692307691790926,0.9640287769270326,0.9174311926088712,0.9117647058297144,0.8717948717404339,0.7555555555024197
bert-base-cased-num=20,checkpoint-31160,beam-rerank-cand=50,30,0.8794063079275817,0.7540983606032787,0.7749999999481875,0.9640287769270326,0.9174311926088712,0.9117647058297144,0.947368420997784,0.7727272726741736
bert-base-cased-num=20,checkpoint-31160,beam-rerank-cand=50,40,0.8868274582058736,0.7540983606032787,0.7749999999481875,0.9710144927022158,0.9174311926088712,0.9117647058297144,0.9743589743040106,0.8181818181285124
bert-base-cased-num=20,checkpoint-31160,beam-rerank-cand=50,50,0.8971553610001323,0.7999999999464691,0.7567567567048574,0.969230769179278,0.9174311926088712,0.9206349205820106,0.99999999994,0.8749999999390625
bert-base-cased-num=30,checkpoint-26994,beam-rerank-cand=10,1,0.7232472324221939,0.6129032257544745,0.5679012345165675,0.8794326240622503,0.7889908256366298,0.7246376811074144,0.7179487178950691,0.4878048779978585
bert-base-cased-num=30,checkpoint-26994,beam-rerank-cand=10,2,0.7555555555054219,0.6129032257544745,0.5822784809613843,0.8999999999487245,0.8073394494898072,0.8285714285192244,0.7894736841565098,0.5238095237580499
bert-base-cased-num=30,checkpoint-26994,beam-rerank-cand=10,3,0.7814814814313429,0.656249999947998,0.5822784809613843,0.9064748200925832,0.8623853210493393,0.8571428570905714,0.8108108107567569,0.5714285713768709
bert-base-cased-num=30,checkpoint-26994,beam-rerank-cand=10,4,0.785185185135046,0.656249999947998,0.5822784809613843,0.9064748200925832,0.8623853210493393,0.8695652173388784,0.8421052631036011,0.5714285713768709
bert-base-cased-num=30,checkpoint-26994,beam-rerank-cand=10,5,0.7955390334071122,0.6666666666145629,0.6410256409742933,0.9064748200925832,0.8623853210493393,0.8695652173388784,0.8421052631036011,0.5714285713768709
bert-base-cased-num=30,checkpoint-26994,beam-rerank-cand=10,10,0.8203124999498588,0.7142857142332272,0.6666666666152532,0.9275362318327136,0.8623853210493393,0.8823529411239186,0.937499999944336,0.5161290322072841
bert-base-cased-num=30,checkpoint-26994,beam-rerank-cand=20,1,0.7302752293076643,0.5999999999480556,0.5853658536071384,0.8776978416753584,0.8148148147633059,0.6849315067978983,0.7317073170196313,0.5714285713768709
bert-base-cased-num=30,checkpoint-26994,beam-rerank-cand=20,2,0.7692307691806284,0.6229508196201021,0.6419753085904587,0.8999999999487245,0.8468468467953575,0.7222222221705632,0.8205128204586457,0.6190476189956917
bert-base-cased-num=30,checkpoint-26994,beam-rerank-cand=20,3,0.7889908256379287,0.6666666666145629,0.6666666666150891,0.9197080291457402,0.8468468467953575,0.7499999999482638,0.8421052631036011,0.6511627906453218
bert-base-cased-num=30,checkpoint-26994,beam-rerank-cand=20,4,0.7941176470086783,0.6666666666145629,0.699999999948375,0.9197080291457402,0.8468468467953575,0.7499999999482638,0.8421052631036011,0.6511627906453218
bert-base-cased-num=30,checkpoint-26994,beam-rerank-cand=20,5,0.7977941175969128,0.6666666666145629,0.7249999999483125,0.9197080291457402,0.8468468467953575,0.7499999999482638,0.8421052631036011,0.6511627906453218
bert-base-cased-num=30,checkpoint-26994,beam-rerank-cand=20,10,0.8372943326737959,0.6666666666145629,0.7407407406889802,0.9496402877184204,0.9009009008493142,0.8333333332813658,0.8717948717404339,0.7142857142333333
bert-base-cased-num=30,checkpoint-26994,beam-rerank-cand=20,20,0.8695652173411326,0.7407407406879973,0.7407407406889802,0.9640287769270326,0.9009009008493142,0.8571428570905714,0.9999999999433332,0.7619047618503402
bert-base-cased-num=30,checkpoint-26994,beam-rerank-cand=30,1,0.7343173431232989,0.5862068964999406,0.6024096385027726,0.8695652173400441,0.8148148147633059,0.6944444443928626,0.7317073170196313,0.6190476189956917
bert-base-cased-num=30,checkpoint-26994,beam-rerank-cand=30,2,0.7686703096037776,0.6666666666145,0.626506024044883,0.8999999999487245,0.8363636363121322,0.7123287670717959,0.7804878048242712,0.6666666666145127
bert-base-cased-num=30,checkpoint-26994,beam-rerank-cand=30,3,0.7882136279424897,0.6999999999477223,0.6746987951291044,0.8999999999487245,0.8363636363121322,0.7536231883537072,0.8205128204586457,0.6666666666145127
bert-base-cased-num=30,checkpoint-26994,beam-rerank-cand=30,4,0.8007380073299287,0.6999999999477223,0.6829268292166567,0.9197080291457402,0.8468468467953575,0.7714285713765305,0.8205128204586457,0.6976744185520823
bert-base-cased-num=30,checkpoint-26994,beam-rerank-cand=30,5,0.8022181145524437,0.6999999999477223,0.6829268292166567,0.9197080291457402,0.8468468467953575,0.7714285713765305,0.8421052631036011,0.6976744185520823
bert-base-cased-num=30,checkpoint-26994,beam-rerank-cand=30,10,0.8413284132339803,0.7333333332809445,0.7407407406889802,0.9197080291457402,0.9090909090392728,0.8333333332813658,0.8717948717404339,0.7441860464588427
bert-base-cased-num=30,checkpoint-26994,beam-rerank-cand=30,20,0.8698884757862806,0.7719298245090798,0.7560975609237952,0.9640287769270326,0.9090909090392728,0.8571428570905714,0.947368420997784,0.7619047618521542
bert-base-cased-num=30,checkpoint-26994,beam-rerank-cand=30,30,0.8860759493169026,0.8095238094700682,0.7368421052112534,0.9640287769270326,0.9090909090392728,0.8823529411239186,0.999999999940909,0.8235294117065743
bert-base-cased-num=30,checkpoint-26994,beam-rerank-cand=40,1,0.714548802896463,0.5901639343743079,0.6341463414118976,0.7826086956010396,0.7962962962448217,0.7042253520609403,0.7317073170196313,0.6190476189956917
bert-base-cased-num=30,checkpoint-26994,beam-rerank-cand=40,2,0.7773722627235815,0.6666666666145629,0.6341463414118976,0.9064748200925832,0.8598130840605468,0.7297297296783418,0.7804878048242712,0.6666666666145127
bert-base-cased-num=30,checkpoint-26994,beam-rerank-cand=40,3,0.7875457874956432,0.6666666666145629,0.6746987951291044,0.9064748200925832,0.8598130840605468,0.7499999999482638,0.799999999946,0.6666666666145127
bert-base-cased-num=30,checkpoint-26994,beam-rerank-cand=40,4,0.8007380073299287,0.6984126983604938,0.6829268292166567,0.9197080291457402,0.8598130840605468,0.7605633802297955,0.8205128204586457,0.6976744185520823
bert-base-cased-num=30,checkpoint-26994,beam-rerank-cand=40,5,0.8133086875653808,0.7301587301064247,0.6913580246397196,0.9264705881839423,0.8703703703187585,0.7777777777259645,0.8421052631036011,0.6976744185520823
bert-base-cased-num=30,checkpoint-26994,beam-rerank-cand=40,10,0.8308823528910243,0.7301587301064247,0.7317073170214157,0.9264705881839423,0.8785046728455586,0.8378378377861578,0.8717948717404339,0.6976744185520823
bert-base-cased-num=30,checkpoint-26994,beam-rerank-cand=40,20,0.8618784529885167,0.7419354838185744,0.7654320987136107,0.9565217390790484,0.9090909090392728,0.8611111110590662,0.8947368420506926,0.7619047618521542
bert-base-cased-num=30,checkpoint-26994,beam-rerank-cand=40,30,0.8761552679720234,0.7666666666141667,0.7654320987136107,0.9710144927022158,0.9090909090392728,0.8732394365675065,0.9743589743040106,0.7619047618521542
bert-base-cased-num=30,checkpoint-26994,beam-rerank-cand=40,40,0.888421052581392,0.7999999999464691,0.7466666666147556,0.9710144927022158,0.9090909090392728,0.8857142856619183,0.99999999994,0.8235294117065743
bert-base-cased-num=30,checkpoint-26994,beam-rerank-cand=50,1,0.7119266054544565,0.5999999999480556,0.5925925925411979,0.7769784172150715,0.8256880733429846,0.7323943661453679,0.6829268292149911,0.5909090908568183
bert-base-cased-num=30,checkpoint-26994,beam-rerank-cand=50,2,0.763302752243438,0.6774193547865245,0.6419753085904587,0.828571428520255,0.867924528250267,0.7323943661453679,0.7804878048242712,0.6818181817654959
bert-base-cased-num=30,checkpoint-26994,beam-rerank-cand=50,3,0.7955801104470925,0.6885245901116905,0.6666666666150891,0.9064748200925832,0.867924528250267,0.7777777777259645,0.799999999946,0.6818181817654959
bert-base-cased-num=30,checkpoint-26994,beam-rerank-cand=50,4,0.799999999949858,0.6885245901116905,0.6666666666150891,0.9130434782095462,0.867924528250267,0.7887323943142234,0.8205128204586457,0.6818181817654959
bert-base-cased-num=30,checkpoint-26994,beam-rerank-cand=50,5,0.8141263940019045,0.7213114753574845,0.6835443037459381,0.9264705881839423,0.8785046728455586,0.7887323943142234,0.8205128204586457,0.7111111110581728
bert-base-cased-num=30,checkpoint-26994,beam-rerank-cand=50,10,0.8317929759202756,0.7419354838185744,0.7249999999483125,0.9420289854558812,0.8867924527785332,0.8055555555036651,0.8421052631036011,0.7111111110581728
bert-base-cased-num=30,checkpoint-26994,beam-rerank-cand=50,20,0.864468864418706,0.7419354838185744,0.7749999999481875,0.9640287769270326,0.9174311926088712,0.8611111110590662,0.8717948717404339,0.7555555555024197
bert-base-cased-num=30,checkpoint-26994,beam-rerank-cand=50,30,0.8740740740239183,0.7666666666141667,0.7749999999481875,0.9710144927022158,0.9174311926088712,0.8732394365675065,0.8947368420506926,0.7727272726741736
bert-base-cased-num=30,checkpoint-26994,beam-rerank-cand=50,40,0.8851851851350273,0.7666666666141667,0.7749999999481875,0.9710144927022158,0.9174311926088712,0.8857142856619183,0.9743589743040106,0.8181818181285124
bert-base-cased-num=30,checkpoint-26994,beam-rerank-cand=50,50,0.8932461873136401,0.7999999999464691,0.7567567567048574,0.969230769179278,0.9174311926088712,0.8923076922550532,0.99999999994,0.8749999999390625
bert-base-cased-num=30,checkpoint-29448,beam-rerank-cand=10,1,0.7142857142355834,0.562499999948291,0.5569620252652459,0.8391608391097266,0.8363636363121322,0.7142857142338367,0.7692307691768574,0.4390243901932183
bert-base-cased-num=30,checkpoint-29448,beam-rerank-cand=10,2,0.7647058823028013,0.6461538461019646,0.5822784809613843,0.8999999999487245,0.8545454544939173,0.7999999999478775,0.7894736841565098,0.5238095237580499
bert-base-cased-num=30,checkpoint-29448,beam-rerank-cand=10,3,0.7903525045880808,0.656249999947998,0.6410256409742933,0.8999999999487245,0.8545454544939173,0.8823529411239186,0.8108108107567569,0.5714285713768709
bert-base-cased-num=30,checkpoint-29448,beam-rerank-cand=10,4,0.7955390334071122,0.6666666666145629,0.6410256409742933,0.9064748200925832,0.8545454544939173,0.8823529411239186,0.8421052631036011,0.5714285713768709
bert-base-cased-num=30,checkpoint-29448,beam-rerank-cand=10,5,0.8029739776450291,0.6666666666145629,0.6410256409742933,0.9208633093011956,0.8545454544939173,0.8823529411239186,0.8947368420506926,0.5714285713768709
bert-base-cased-num=30,checkpoint-29448,beam-rerank-cand=10,10,0.8203124999498588,0.7142857142332272,0.6666666666152532,0.9275362318327136,0.8623853210493393,0.8823529411239186,0.937499999944336,0.5161290322072841
bert-base-cased-num=30,checkpoint-29448,beam-rerank-cand=20,1,0.7236363635862346,0.6129032257544745,0.6097560975095182,0.830985915441827,0.8148148147633059,0.6666666666156089,0.799999999946,0.5365853658024985
bert-base-cased-num=30,checkpoint-29448,beam-rerank-cand=20,2,0.7678244972076294,0.6666666666145629,0.6419753085904587,0.9064748200925832,0.8392857142342792,0.6756756756244338,0.8421052631036011,0.599999999949
bert-base-cased-num=30,checkpoint-29448,beam-rerank-cand=20,3,0.7897623399864189,0.6666666666145629,0.6499999999484999,0.9064748200925832,0.8928571428056123,0.7123287670717959,0.8421052631036011,0.6666666666145127
bert-base-cased-num=30,checkpoint-29448,beam-rerank-cand=20,4,0.7985347984846523,0.6774193547865245,0.699999999948375,0.9064748200925832,0.8928571428056123,0.7123287670717959,0.8421052631036011,0.6666666666145127
bert-base-cased-num=30,checkpoint-29448,beam-rerank-cand=20,5,0.8161764705380858,0.6774193547865245,0.7407407406889802,0.935251798509808,0.8928571428056123,0.7428571428051836,0.8421052631036011,0.6666666666145127
bert-base-cased-num=30,checkpoint-29448,beam-rerank-cand=20,10,0.8487084870347169,0.6774193547865245,0.7407407406889802,0.9496402877184204,0.9009009008493142,0.8695652173388784,0.9230769230222224,0.731707317021059
bert-base-cased-num=30,checkpoint-29448,beam-rerank-cand=20,20,0.8747514910035058,0.7547169810792455,0.7407407406889802,0.9640287769270326,0.9009009008493142,0.8823529411239186,0.9999999999433332,0.7619047618503402
bert-base-cased-num=30,checkpoint-29448,beam-rerank-cand=30,1,0.7362637362136013,0.6666666666145,0.626506024044883,0.828571428520255,0.8148148147633059,0.6849315067978983,0.799999999946,0.5714285713768709
bert-base-cased-num=30,checkpoint-29448,beam-rerank-cand=30,2,0.7619047618546223,0.6666666666145,0.626506024044883,0.8794326240622503,0.828828828777372,0.7042253520609403,0.8205128204586457,0.6341463414117787
bert-base-cased-num=30,checkpoint-29448,beam-rerank-cand=30,3,0.7816513760966456,0.6999999999477223,0.6585365853142773,0.8999999999487245,0.828828828777372,0.7222222221705632,0.8421052631036011,0.6666666666145127
bert-base-cased-num=30,checkpoint-29448,beam-rerank-cand=30,4,0.8066298342039966,0.6999999999477223,0.6829268292166567,0.9064748200925832,0.8928571428056123,0.7536231883537072,0.8421052631036011,0.6976744185520823
bert-base-cased-num=30,checkpoint-29448,beam-rerank-cand=30,5,0.8110091742617779,0.6999999999477223,0.6829268292166567,0.9197080291457402,0.8928571428056123,0.7671232876195909,0.8421052631036011,0.6976744185520823
bert-base-cased-num=30,checkpoint-29448,beam-rerank-cand=30,10,0.854511970483914,0.7333333332809445,0.7560975609237952,0.9496402877184204,0.9090909090392728,0.8571428570905714,0.8717948717404339,0.7441860464588427
bert-base-cased-num=30,checkpoint-29448,beam-rerank-cand=30,20,0.8768656715916447,0.7719298245090798,0.7560975609237952,0.9640287769270326,0.9090909090392728,0.8955223880070394,0.9743589743040106,0.7619047618521542
bert-base-cased-num=30,checkpoint-29448,beam-rerank-cand=30,30,0.8898305084243915,0.8095238094700682,0.7368421052112534,0.9640287769270326,0.9090909090392728,0.9090909090381544,0.999999999940909,0.8235294117065743
bert-base-cased-num=30,checkpoint-29448,beam-rerank-cand=40,1,0.7213114753597061,0.6666666666145629,0.6506024095869938,0.7714285713774794,0.7962962962448217,0.6849315067978983,0.799999999946,0.5714285713768709
bert-base-cased-num=30,checkpoint-29448,beam-rerank-cand=40,2,0.7586206896050388,0.6666666666145629,0.6506024095869938,0.8652482268991498,0.8148148147633059,0.7105263157384694,0.8205128204586457,0.6341463414117787
bert-base-cased-num=30,checkpoint-29448,beam-rerank-cand=40,3,0.7889908256379287,0.6774193547865245,0.6829268292166567,0.8999999999487245,0.8518518518002743,0.7499999999482638,0.8205128204586457,0.6666666666145127
bert-base-cased-num=30,checkpoint-29448,beam-rerank-cand=40,4,0.8036697247204948,0.6984126983604938,0.6829268292166567,0.9064748200925832,0.8623853210493393,0.7887323943142234,0.8421052631036011,0.6976744185520823
bert-base-cased-num=30,checkpoint-29448,beam-rerank-cand=40,5,0.8066298342039966,0.6984126983604938,0.6913580246397196,0.9130434782095462,0.8623853210493393,0.7887323943142234,0.8421052631036011,0.6976744185520823
bert-base-cased-num=30,checkpoint-29448,beam-rerank-cand=40,10,0.8424908424406882,0.7187499999478026,0.7499999999482501,0.9420289854558812,0.9090909090392728,0.8493150684412836,0.8421052631036011,0.6976744185520823
bert-base-cased-num=30,checkpoint-29448,beam-rerank-cand=40,20,0.8671586715365586,0.7301587301064247,0.7654320987136107,0.9710144927022158,0.9090909090392728,0.8857142856619183,0.8947368420506926,0.7619047618521542
bert-base-cased-num=30,checkpoint-29448,beam-rerank-cand=40,30,0.8810408921431557,0.7666666666141667,0.7654320987136107,0.9710144927022158,0.9090909090392728,0.8985507245851713,0.9743589743040106,0.780487804825699
bert-base-cased-num=30,checkpoint-29448,beam-rerank-cand=40,40,0.8921775898018202,0.7999999999464691,0.7466666666147556,0.9710144927022158,0.9090909090392728,0.9117647058297144,0.99999999994,0.8235294117065743
bert-base-cased-num=30,checkpoint-29448,beam-rerank-cand=50,1,0.7099099098597951,0.6557377048658963,0.5925925925411979,0.7659574467574468,0.8035714285200574,0.7105263157384694,0.7499999999462501,0.5454545454024794
bert-base-cased-num=30,checkpoint-29448,beam-rerank-cand=50,2,0.7486437612518617,0.6666666666145629,0.6585365853142773,0.8085106382467482,0.8214285713771683,0.7123287670717959,0.8205128204586457,0.6511627906453218
bert-base-cased-num=30,checkpoint-29448,beam-rerank-cand=50,3,0.7882136279424897,0.6774193547865245,0.6829268292166567,0.8794326240622503,0.867924528250267,0.7536231883537072,0.8205128204586457,0.6818181817654959
bert-base-cased-num=30,checkpoint-29448,beam-rerank-cand=50,4,0.8059149722234228,0.6774193547865245,0.6913580246397196,0.9064748200925832,0.8785046728455586,0.7999999999478775,0.8421052631036011,0.6818181817654959
bert-base-cased-num=30,checkpoint-29448,beam-rerank-cand=50,5,0.8124999999498513,0.6984126983604938,0.6913580246397196,0.9064748200925832,0.8785046728455586,0.8169014083986509,0.8421052631036011,0.7111111110581728
bert-base-cased-num=30,checkpoint-29448,beam-rerank-cand=50,10,0.8413284132339803,0.7096774193025494,0.7594936708343535,0.9420289854558812,0.9174311926088712,0.8169014083986509,0.8421052631036011,0.7111111110581728
bert-base-cased-num=30,checkpoint-29448,beam-rerank-cand=50,20,0.8692449354931195,0.7419354838185744,0.7749999999481875,0.9640287769270326,0.9174311926088712,0.8985507245851713,0.8717948717404339,0.7555555555024197
bert-base-cased-num=30,checkpoint-29448,beam-rerank-cand=50,30,0.8777777777276214,0.7419354838185744,0.7749999999481875,0.9710144927022158,0.9174311926088712,0.8985507245851713,0.947368420997784,0.7727272726741736
bert-base-cased-num=30,checkpoint-29448,beam-rerank-cand=50,40,0.8884758363810726,0.7666666666141667,0.7749999999481875,0.9710144927022158,0.9174311926088712,0.9117647058297144,0.9743589743040106,0.8181818181285124
